Title,Title_URL,Image,Info,badgetext,ratingdate,partial_entry,View,Number,note,viamobile,talnk
"Love, love, love this little restaurant!",https://www.tripadvisor.com.au/ShowUserReviews-g2020575-d3645200-r181878676-Spices_and_Herbs-Essendon_North_Moonee_Valley_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Renish04,25 reviews,Reviewed 22 October 2013 ,"We've been coming here since it first opened and the food is always so delicious. Service can a tad slow sometimes as it is a small place with lots of takeaways and chefs sometimes have trouble keeping when it gets really busy (usually only on...a Saturday night), but their friendliness and tasty food always make up for it. If you love Thai food, I highly recommend this place.More",Date of visit: October 2013,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,via mobile ,More
Service terrible.  Not enough staff. Waitress not speaking english.,https://www.tripadvisor.com.au/ShowUserReviews-g2020575-d3645200-r170543267-Spices_and_Herbs-Essendon_North_Moonee_Valley_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Cherry C,52 reviews,Reviewed 3 August 2013 ,"We dined on a voucher. Sat nite so very busy. Had to wait about 1 hour at table for glasses of water.  Asked 3 times before we got it. Very very cramped space. Door at front and back left open too much. Freezing. Re entree,...could not find out from them if it was vegetarian or not. Re main course, asked for stir fry to be very soft as sore tooth problem. Arrived rock hard. Sent back with microwave request. Came back just the same.Gave up at this point. Had to leave 90% of the meal on the plate. Food tasted nice but couldnt eat it. Full restaurant and only one girl serving. Poor thing was run off her feet and was pleasant, but could not understand enough  english to interpret anything on the menu. Would definitely not go there again. Got home still hungry.More",Date of visit: August 2013,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
Delicious food and wonderful service.,https://www.tripadvisor.com.au/ShowUserReviews-g2020575-d3645200-r164040613-Spices_and_Herbs-Essendon_North_Moonee_Valley_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Jemane,75 reviews,Reviewed 15 June 2013 ,"Dined here recently on a voucher. On presentation of the voucher, the staff treated us extremely well. We weren't at any time made to feel unwelcome. Absolutely loved it. The food was extremely tasty and plentiful. The service from all staff was wonderful. Would certainly...visit again.More",Date of visit: June 2013,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
Touch of Thai in Essendon,https://www.tripadvisor.com.au/ShowUserReviews-g2020575-d3645200-r145994872-Spices_and_Herbs-Essendon_North_Moonee_Valley_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",alphalimahotel,44 reviews,Reviewed 23 November 2012 ,"Thought we'd try out this Thai Restaurant we've driven past a few times - and we're glad we did.  Tum, proprietor, greeted us with open arms and a beautiful smile.  It's a cosy restaurant and very nicely decorated.  Prawn Tom Yum soup for both of...us to start - yum!  Beautiful flavours with the right amount of spice.  I then had Tamarind prawns (heaps of prawns - not huge, but heaps) with coconut rice and my husband had a vegetable curry with rice.  Approx $10 for soup and $20 for a main and we left feeling extremely happy with the quantity and quality of both food and service - we'll be back.More",Date of visit: November 2012,1  ,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
Nice tidy little restaurant.,https://www.tripadvisor.com.au/ShowUserReviews-g1009368-d3567883-r750892663-Spice_Village-Malvern_Stonnington_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/13/9c/3b/07/john-r.jpg,John R,4 reviews,Reviewed 15 March 2020 ,Nice tidy little restaurant. Friendly service . Since moving to Malvern I have eaten there 6 or 7 times and introduced it to friends . Everybody I have taken has enjoyed its food and atmosphere. Can’t say fairer than that.,Date of visit: March 2020,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,via mobile ,
Tasty food at reasonable price ,https://www.tripadvisor.com.au/ShowUserReviews-g1009368-d3567883-r497073264-Spice_Village-Malvern_Stonnington_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/e2/a7/default-avatar-2020-44.jpg,Nikhil D,35 reviews,Reviewed 29 June 2017 ,Visited this restaurant on a Sunday night and it was pretty quiet. The food was exceptional and all of us were very happy. Being vegetarians we had a lot of choice and the food was tasty. The mango kulfi was a standout.  We departed with...our stomachs pretty full. Definitely be back!More,Date of visit: June 2017,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,via mobile ,More
Unbelievable ,https://www.tripadvisor.com.au/ShowUserReviews-g1009368-d3567883-r476323147-Spice_Village-Malvern_Stonnington_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",407soniad,40 reviews,Reviewed 17 April 2017 ,"It takes a lot to annoy me, especially enough to leave a bad review.
I just ordered a meal pack through UberEATS. Two curries, naans, rice, samosa. 

First of all one of the curries was only half and it was a Dahl curry. I literally...had to search for the Dahl. It was just curry. There was a table spoon MAX of actual Dahl in there. Not even a heaped table spoon. I was shocked. I can't believe you think you can serve that to people and actually charge them for it. It's like ordering a chicken curry and not adding chicken in it!

One of the naans was a mangled mess as well!More",Date of visit: April 2017,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,via mobile ,More
Authentic Indian food,https://www.tripadvisor.com.au/ShowUserReviews-g1009368-d3567883-r457810124-Spice_Village-Malvern_Stonnington_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Pavel R,14 reviews,Reviewed 7 February 2017 ,"This cosy eatery in Malvern East is popular with locals.

Over the years, we've tried many of the dishes, and none disappointed. The chicken and lamb dishes are particularly tasty.
We'll keep going back for more.

Takeaway is also available.",Date of visit: November 2016,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,via mobile ,
Excellent ,https://www.tripadvisor.com.au/ShowUserReviews-g1009368-d3567883-r361978554-Spice_Village-Malvern_Stonnington_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Rob M,2 reviews,Reviewed 6 April 2016 ,What excellent food. Great menu and exceptional value for money. We have come here on multiple occasions now and enjoyed it every time. Highly recommended.,Date of visit: April 2016,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,via mobile ,
Why so quiet?,https://www.tripadvisor.com.au/ShowUserReviews-g1009368-d3567883-r148862981-Spice_Village-Malvern_Stonnington_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Harry_V_H_Le,5 reviews,Reviewed 5 January 2013 ,"I really don't know why it was so quiet ... The food was awesome and well priced. To be honest, I asked them why they gave such a low price and the reply was to attract customer. Come on! Come and try and support them,...they were so friendly and lovely!More",Date of visit: November 2012,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
Excellent indian food in the suburbs!,https://www.tripadvisor.com.au/ShowUserReviews-g1009368-d3567883-r143329523-Spice_Village-Malvern_Stonnington_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",DavidTurner100,2 reviews,Reviewed 21 October 2012 ,"This place is outstanding, and a real surprise because it doesn't look promising - a modest place in a row of shops in East Malvern, a quiet suburb. My dad eats here all the time, and he's a fussy eater! I understand it has changed...hands several times recently and used to be a bit dodgy, but the chef they have now is just great - I come from England and I eat a lot of Indian food, this is freshly cooked, well spiced but not hot, and well priced!

I just hope people discover it soon and support it, because the guys who run it are great, but it's quiet - they admitted to me they don't know much about marketing. But they sure know about cooking great indian food!

Do try it out - they need the support and it would be a shame to see such a great little restaurant fail...More",Date of visit: October 2012,2  ,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
Absolutely spectacular food,https://www.tripadvisor.com.au/ShowUserReviews-g1009368-d8797686-r824081968-Tuan_Kitchen-Malvern_Stonnington_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/e7/fe/default-avatar-2020-58.jpg,Traveller13053,5 reviews,Reviewed 6 January 2022 ,"This is our third visit. We have kept coming back because the food, each time, has been spectacular.  

We chanced upon this restaurant on Waverley Road.  

Today's lunch of sweet and sour pork and freodn dumplings lived up to its usual quality.  Will be back...to sample more dishes!More",Date of visit: January 2022,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
Hit and Miss with more miss ,https://www.tripadvisor.com.au/ShowUserReviews-g1009368-d8797686-r782360610-Tuan_Kitchen-Malvern_Stonnington_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/eb/43/default-avatar-2020-11.jpg,Jssww,80 reviews,Reviewed 6 February 2021 ,I thought I had seen good reviews so will give it a go for a special birthday. A few dishes were nice being the roti chani but the rest a real disappointment.  Most of them were chilli/spicy were not advertised to be for example the...Salt and pepper calamari and roti chani.  Calamari was too hot to eat. Also the sizzling tofu and Chinese  mushrooms was not sizzling and not Chinese mushrooms and the rest was cabbage and tasteless.. rice was nice but really??? I must have read the wrong reviews.  Will not be returning.More,Date of visit: February 2021,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,via mobile ,More
Rude & Irresponsible Owner,https://www.tripadvisor.com.au/ShowUserReviews-g1009368-d8797686-r761281696-Tuan_Kitchen-Malvern_Stonnington_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/ea/74/default-avatar-2020-68.jpg,justicebao28,5 reviews,Reviewed 24 July 2020 ,"Ordered Sizzling Beancurd for takeaway but they gave me Beancurd with Mix Vegetables instead. Rang the restaurant about the mix up in order, and the owner himself picked up my call. He gave all sorts of excuses and tried all means and ways to avoid...admitting his mistake. No apology nothing, OVER CHARGED me for the wrong dish and refused to compensate me for it, RAISED his voice over the phone, so rude and such a loser for his behaviour! Food is sooo average, they claim that they serve Malaysian cuisine but he does not even know how ""Sizzling Beancurd"" should be cooked, instead deceiving his customers by using mix vegetables with beancurd to pretend as ""sizzling beancurd"". Absurd and ridiculous, food is NOT AUTHENTIC Malaysian! The owner is a BIG LIAR! AVOID AT ALL COST, VERY RUDE AND CHEATING RESTAURANT! DO NOT TRUST!More",Date of visit: July 2020,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
Restaurant cancelled order after it was supposed to be delivered,https://www.tripadvisor.com.au/ShowUserReviews-g1009368-d8797686-r702081191-Tuan_Kitchen-Malvern_Stonnington_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Simmo74,11 reviews,Reviewed 23 August 2019 ,"We made an UberEats order but half an hour later they cancelled the order. We called to ask about the food only to be told ‘we’re busy’. 
Then asked again why they waited until the delivery was supposed to arrive before cancelling our order -...flat ‘we’re busy’. 
Not fantastic. No sorry. No return.More",Date of visit: August 2019,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,via mobile ,More
Tuan Kitchen Waverley Rd Malvern East,https://www.tripadvisor.com.au/ShowUserReviews-g1009368-d8797686-r657991734-Tuan_Kitchen-Malvern_Stonnington_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Brian W,34 reviews,Reviewed 12 March 2019 ,"A brilliant restaurant serving Thai food that was both great food and drinks and also not overly priced,staff very happy to help.So a great alround restaurant",Date of visit: March 2019,2  ,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,via mobile ,
Good food at a reasonable price,https://www.tripadvisor.com.au/ShowUserReviews-g1009368-d8797686-r600089038-Tuan_Kitchen-Malvern_Stonnington_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",43nirvana,30 reviews,Reviewed 27 July 2018 ,This local restaurant recently changed ownership and the food and menu have greatly improved.  We ordered 4 main courses to share and all were excellent.  The Nasi Goreng was the best I have had.  It is BYO and the prices were very reasonable.  At the...end of our meal the chef came out to see if we were happy with our food.  The only downside was the waiter who was more interested in his mobile than his customers.More,Date of visit: July 2018,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
Great Asian experience overall,https://www.tripadvisor.com.au/ShowUserReviews-g1009368-d8797686-r488913228-Tuan_Kitchen-Malvern_Stonnington_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",amaassm,34 reviews,Reviewed 30 May 2017 ,"My wife and I came to this quite small but beautiful restaurant via Groupon. We did not know what to expect because apparently is a new place in Melbourne. We ordered pork pan fried dumplings which were delicious. After that we got the red duck...curry and soft shell crab. I must say the flavour of the red curry was absolutely exceptional, one of the best I've tried. However, I believe the duck was overcooked in my opinion. The crab was also very delicious, and the dish made sense with the salad and its dressing. My only negative on this place is maybe the portions. You do not get a decent portion to be satisfied unless you order an entree first. I'd still recommend this place given its really nice Asian flavours. It is also worth pointing out that the service was extremely friendly and willing to explain/help at all times.More",Date of visit: May 2017,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
GOOD RESTAURANT WITH ASIAN FOOD and byo,https://www.tripadvisor.com.au/ShowUserReviews-g1009368-d8797686-r485851123-Tuan_Kitchen-Malvern_Stonnington_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Nogs2015,14 reviews,Reviewed 20 May 2017 ,"friday nite dinner with hubby. first time to tuan kitchen we had the roti chicken rolls & pork belly sliders for entree to share food was tasty and good size well explained how food was cooked by wait staff. main was malaysian chicken curry, roti...bread and steamed rice
which was more than enough for the two of us
great to see you can byo drinks - wine, beer etc with a $2 per head corkage fee.
good nite out 
will return thanxsMore",Date of visit: May 2017,1  ,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
Good Asian Cuisine,https://www.tripadvisor.com.au/ShowUserReviews-g1009368-d8797686-r446020762-Tuan_Kitchen-Malvern_Stonnington_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",PeterHaroldK,2 reviews,Reviewed 22 December 2016 ,"Tuan Kitchen is the 3rd restaurant to occupy these premises. It follows ""Le Petit Bourgeois"" which was there for nearly 20 years and ""Omlette"" which lasted 12 months or so. Le Petit especially is still missed - an oasis of fine dining in the midst...of more casual cuisine.
Tuan Kitchen is not ""fine dining"" in the traditional style, but is still fine food for a casual night out. It is certainly Asian in style, but covers the food from a number of Asian countries rather than being in the style of just one country. 
Over several visits, the food has generally been very good. Last night 4 of us shared 3 entrees, 2 mains, some rice and roti - the bill was $85, including a tipMore",Date of visit: December 2016,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
Pleasant,https://www.tripadvisor.com.au/ShowUserReviews-g1009368-d8797686-r377271551-Tuan_Kitchen-Malvern_Stonnington_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Elle H,104 reviews,Reviewed 28 May 2016 ,"Very pleasant
Friendly staff 
Food was actually quite satisfactory, a blend of Thai, Chinese and Vietnamese
We have visited twice and enjoyed the evening
Tables always available so a great spot for last minute dinner plans",Date of visit: April 2016,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,via mobile ,
"Tasty, fresh and delicious food!",https://www.tripadvisor.com.au/ShowUserReviews-g1009368-d8797686-r372020280-Tuan_Kitchen-Malvern_Stonnington_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",travelyourheartout,5 reviews,Reviewed 11 May 2016 ,"We can e here for a weekday dinner with a small group and were pleasantly surprised! The food was fresh and delicious! We especially enjoyed the Roti Chicken entree and the Red Duck Curry. And the Banana Fritter with homemade coconut icecream was an all-round...winner. The service was excellent, the staff were polite and friendly. We will definitely be back!More",Date of visit: May 2016,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
Quiet and Unassuming,https://www.tripadvisor.com.au/ShowUserReviews-g1009368-d8797686-r365015859-Tuan_Kitchen-Malvern_Stonnington_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Revelation780,33 reviews,Reviewed 18 April 2016 ,"We are becoming regular diners here because hardly ever are more than a couple of other tables in use. I probably should not write a positive review in case it becomes more popular, but I would hate to see them close. Very clean and attractive,...food really good without being great. Roti Chicken wraps becoming a favourite. 

Music was a little loud at first, but they seemed to sense that without us saying a thing.

Service is attentive and quick, although that may be different if more people came in. Prices reasonable for good food.More",Date of visit: April 2016,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
Quiet and Clean,https://www.tripadvisor.com.au/ShowUserReviews-g1009368-d8797686-r359585851-Tuan_Kitchen-Malvern_Stonnington_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",83judi57,3 reviews,Reviewed 29 March 2016 ,"Recently refurbished restaurant, so nice and clean. Tables well spaced apart to create a relaxed meal environment. Staff attentive, but food lacks taste and servings too small. Shame as it's nice to go to a quiet restaurant where you're not sitting on top of each...other. We've been several times and watched the meals get smaller.More",Date of visit: March 2016,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
Authentic South East Asian food,https://www.tripadvisor.com.au/ShowUserReviews-g1009368-d8797686-r341348157-Tuan_Kitchen-Malvern_Stonnington_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Jilly171152,46 reviews,Reviewed 20 January 2016 ,"We have now dined at this restaurant half a dozen times. The food is always delicious, high quality with decent size serves. There are excellent dishes from Thailand, Malaysia and Indonesia. The standout meals are the beef rendang, pork belly and sambas prawns. The atmosphere...is very pleasant and the service is friendly and reliable.More",Date of visit: January 2016,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
"Authentic food, excellent service, reasonable cost",https://www.tripadvisor.com.au/ShowUserReviews-g1009368-d8797686-r323545346-Tuan_Kitchen-Malvern_Stonnington_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Geofficurus,10 reviews,Reviewed 1 November 2015 ,"13 of us visited Tuan Kitchen on a recommendation.  We were not disappointed.  This relatively new restaurant provided excellent, authentic dishes  (never had better Beef Rendang in Melbourne) at very affordable prices.  Small restaurant with modern décor and friendly service.  We re-ordered several dishes and...all were served promptly.  The staff were chatty and good fun but not intrusive.  The only ""criticism"" was that the second round of plain rice we ordered was coconut rice, no to everyone's liking.  I suspect it may have been late and all they had left for Nasi Lemak orders. We will return.More",Date of visit: October 2015,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
Absolutely poor excuse for a Thai restaurant,https://www.tripadvisor.com.au/ShowUserReviews-g3331148-d11680629-r864593309-Thaiger_Rabbit-Abbotsford_Yarra_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/f2/59/default-avatar-2020-24.jpg,Brian E,121 reviews,Reviewed 15 October 2022 ,"Ordered a red curry with crispy pork. The curry was mediocre in taste; that was tolerable. My main gripe is that for a $23 dish there was exactly 4 pieces of crispy pork, which was 90% fat and 10% pork, in the whole curry. Amounted...to probably 50gm of meat or one desert spoonful- I am not kidding. The rest of the curry was made of roughly chopped vegetables which were undercooked and loads of sauce. I realise this is meant to be “authentic” but have had better looking, tasting and quality dishes than this in little restaurants here and in Thailand. When I complained, the waiter was rude and defensive. My review is not the only one which contains complaints about portions, taste and service. As for the rave reviewers, are you sure you were at this place?!More",Date of visit: October 2022,1  ,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,via mobile ,More
Great Thai at decent prices.,https://www.tripadvisor.com.au/ShowUserReviews-g3331148-d11680629-r752931146-Thaiger_Rabbit-Abbotsford_Yarra_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/e2/a7/default-avatar-2020-44.jpg,thesolotraveler1,25 reviews,Reviewed 26 April 2020 ,Great Thai at decent prices. Portion sizes are good. Should be two portions of roti bread as opposed to one (it’s my only criticism).,Date of visit: April 2020,2  ,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,via mobile ,
Hidden but great,https://www.tripadvisor.com.au/ShowUserReviews-g3331148-d11680629-r740540339-Thaiger_Rabbit-Abbotsford_Yarra_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",DUCOURAY,298 reviews,Reviewed 22 January 2020 ,For me one of the best and authentic Thai coffe in Melbourne . Great food great interior design and great choice you will love it!,Date of visit: January 2020,1  ,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,via mobile ,
Local Thai ,https://www.tripadvisor.com.au/ShowUserReviews-g3331148-d11680629-r739942473-Thaiger_Rabbit-Abbotsford_Yarra_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",thesolotraveler1,25 reviews,Reviewed 19 January 2020 ,"Great Thai food and decent prices. The gf and I regularly visit for dinner. Staff are always friendly, portion sizes are great.",Date of visit: January 2020,2  ,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,via mobile ,
Overprice anf Tasteless,https://www.tripadvisor.com.au/ShowUserReviews-g3331148-d11680629-r686658987-Thaiger_Rabbit-Abbotsford_Yarra_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",tanliechen,6 reviews,Reviewed 4 July 2019 ,"Bought take away stir fry chicken mince basil and soft shell crab salad. They charged $15.90 for salad with only 2 super mini crab with little papaya salad!! and not enough sauce. The sauce was so tasteless. 

The chicken mince was so mushy and taste...terrible. It doesn't look good and it doesn't taste good as well. 

Very dissappointed and definitely won't be going back anymore.More",Date of visit: July 2019,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
Could be so much better ,https://www.tripadvisor.com.au/ShowUserReviews-g3331148-d11680629-r678017400-Thaiger_Rabbit-Abbotsford_Yarra_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",urbandrifter,"2,332 reviews",Reviewed 1 June 2019 ,"What started out with a takeaway order ended up with a visit the following week to try in person. I had the beef combination noodle soup and prawn salad with sweet chilli sauce and lemon grass. Good. Portion size not great. 
The restaurant is nicely...decorated and had a good vibe. Alas, the service was substandard. One person looking after everything. Poor woman was rushed off her feet and although trying her best she was clearly not coping. Menu is extensive and the food is food but really I’ve had better. So the ambience was what kept this review at a 3 instead of a 2. 
Not really wheelchair friendly. Quite a small restaurant. Parking is always a challenge in Smith Street but be patient. Impressive takeaway menu - almost a novel it’s so thick and includes pictures of each dish.More",Date of visit: April 2019,2  ,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,via mobile ,More
Casual Saturday Evening,https://www.tripadvisor.com.au/ShowUserReviews-g3331148-d11680629-r676436587-Thaiger_Rabbit-Abbotsford_Yarra_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",TeeBee1289,2 reviews,Reviewed 26 May 2019 ,Awful!! We are locals and like trying the local places. Raining tonight so we popped in here. Service was slow. Food was not fresh. Too saucy and manufactured. Fried calamari was terrible and Pad Thai just a mess. No return for us.,Date of visit: May 2019,1  ,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,via mobile ,
